Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
ASP.NET Distributed Data Applications,"* The only Enterprise level book that concentrates on distributed techniques. * Fully updated for ASP .NET 1.1 and Visual Studio 2003. * Authors were both anointed as software legends by Microsoft (www.softwarelegends.com). * Demonstrates the range of possibilities and ease of development for distributed data-driven applications with .NET. * Shows how easy it is to take advantage of several different types of client devices, and how to provide the best user experience possible for each one. * Explores all aspects of building ASP.NET 1.1applications that handle data and work across the Internet or other HTTP networks such as local intranets.","['Alex Homer', 'David Sussman']",http://books.google.com/books/content?id=hqeX4vmy-o0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=hqeX4vmy-o0C&printsec=frontcover&dq=ASP.NET+Distributed+Data+Applications&hl=&cd=1&source=gbs_api,Apress,2008-01-01,http://books.google.nl/books?id=hqeX4vmy-o0C&dq=ASP.NET+Distributed+Data+Applications&hl=&source=gbs_api,['Computers'],
Distributed Com Application Development Using Visual C++ 6.0 with CDROM (Prentice Hall Series on Microsoft Technologies),"The complete guide to designing, developing, and deploying multi-tier applications with Visual C++ 6.0, this book gives intermediate-to-advanced Visual C++ and MFC programmers all the in-depth knowledge and skills they need to build and deploy state-of-the-art multi-tiered applications. The CD-ROM and book contain extensive source code examples and a complete multi-tier application.",['Jim Maloney'],http://books.google.com/books/content?id=35JSGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=35JSGQAACAAJ&dq=Distributed+Com+Application+Development+Using+Visual+C+++6.0+with+CDROM+(Prentice+Hall+Series+on+Microsoft+Technologies)&hl=&cd=1&source=gbs_api,Prentice Hall,2000,http://books.google.com/books?id=35JSGQAACAAJ&dq=Distributed+Com+Application+Development+Using+Visual+C+++6.0+with+CDROM+(Prentice+Hall+Series+on+Microsoft+Technologies)&hl=&source=gbs_api,['Computers'],
Sun Tzu on Investing: 15 Strategies for Dynamic Investments,"“Some of the wisest words for investors can be found in this book, not only because of Curtis Montgomery’s extensive studies but also by the fascinating framework he uses. Applying Chinese philosophy and particularly that of Sun Tzu to investing make a lot of sense. Sun Tzu’s Art of War contains a great deal of wisdom applicable to investing and Montgomery illustrates this beautifully.” – Mark Mobius, Managing Director, Templeton Emerging Markets Fund, Author of Passport to Profits and Mobius on Emerging Markets “With this book, Curtis Montgomery has provided an enormous service to the investor and he stock market community. This book shows how to apply Sun Tzu’s timeless understanding of strategy to the stock market. Drawing on examples from today, and based on lessons from the past, this book belongs on the bookshelf of every serious investor.” – Franklin Lavin, U.S. Ambassador to Singapore “Investors from all cultures will enjoy Sun Tzu on Investing, as it makes relevant the universal paradox of business that strategy must be like water, with form yet formless, and most robust when it is least rigid. Such ancient Taoist insights are presented here in a fresh and entertaining style that will enlighten every investing mind.” – Dr. Ron Sim, Chief Executive Officer, OSIM International Ltd. “Few Westerners have such a deep grasp of the Taoist philosophy of Sun Tzu as Curtis Montgomery. By citing Buddha, Leonardo da Vinci, Charles Darwin and many other Montgomery unveils the profound depth of the Art of War. Read Sun Tzu on Investing and you are closer to Tao; the effortless way, winning without fighting.” – Dr Foo Check Teck, Author of Reminiscences of an Ancient Strategist: Mind of Sun Tzu",['Curtis J. Montgomery'],http://books.google.com/books/content?id=CR5FAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=CR5FAAAAYAAJ&q=Sun+Tzu+on+Investing:+15+Strategies+for+Dynamic+Investments&dq=Sun+Tzu+on+Investing:+15+Strategies+for+Dynamic+Investments&hl=&cd=1&source=gbs_api,John Wiley & Sons Incorporated,2003-09,http://books.google.nl/books?id=CR5FAAAAYAAJ&dq=Sun+Tzu+on+Investing:+15+Strategies+for+Dynamic+Investments&hl=&source=gbs_api,['Business & Economics'],
The descent of man,,['Charles Darwin'],http://books.google.com/books/content?id=j-8hm8eHg-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=j-8hm8eHg-UC&printsec=frontcover&dq=The+descent+of+man&hl=&cd=1&source=gbs_api,,1871,https://play.google.com/store/books/details?id=j-8hm8eHg-UC&source=gbs_api,['Evolution'],
Darwin and the Beagle,"The riveting firsthand account of the historic voyage that led to the theory of evolution When the HMS Beagle set sail in 1831, the science of biology was not far removed from the Dark Ages. When the ship returned to England nearly five years later, Charles Darwin had the makings of a theory that would revolutionize our understanding of the natural world. From volcanoes in the Galapagos to the coral reefs of Australia, The Voyage of the Beagle documents the young naturalist’s encounters with some of the earth’s most stunning features. Darwin’s observations of the people, places, and events he experienced make for compelling reading and offer a fascinating window into the intellectual development of his ideas about natural selection. A brilliant travelogue and a revealing glimpse into the Victorian mindset, The Voyage of the Beagle is an indispensable companion volume to On the Origin of Species. This ebook has been professionally proofread to ensure accuracy and readability on all devices.",['Charles Darwin'],http://books.google.com/books/content?id=TGjoCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=TGjoCwAAQBAJ&printsec=frontcover&dq=Darwin+and+the+Beagle&hl=&cd=1&source=gbs_api,Open Road Media,2016-04-26,https://play.google.com/store/books/details?id=TGjoCwAAQBAJ&source=gbs_api,['Travel'],14.0
Insectivorous plants,"In this 1875 publication, Darwin details the multitude of experiments he conducted, along with many friends, colleagues, and his sons, on carnivorous plants with a special focus on the feeding mechanisms and the adaptations that enabled the plants to survive. This study of feeding flies to plants includes illustrations from Darwin and his sons.",['Charles Darwin'],http://books.google.com/books/content?id=ZyIftQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=ZyIftQEACAAJ&dq=Insectivorous+plants&hl=&cd=1&source=gbs_api,Createspace Independent Publishing Platform,2018-03-23,http://books.google.nl/books?id=ZyIftQEACAAJ&dq=Insectivorous+plants&hl=&source=gbs_api,,
Between Man & Man,,['Charles Darwin'],http://books.google.com/books/content?id=ay5NMwyoqXQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=ay5NMwyoqXQC&pg=PA202&dq=Between+Man&hl=&cd=1&source=gbs_api,,1874,https://play.google.com/store/books/details?id=ay5NMwyoqXQC&source=gbs_api,,
In Darwin's Wake: Revisiting Beagle's South American Anchorages.,Skipper Campbell realized that his planned route along the South American coast and around Cape Horn would closely follow that taken by Charles Darwin on his historic journey aboard the BEAGLE. He decided to compare his impressions of those places today with the descriptions and observations made by Darwin over 150 years earlier.,['John Campbell'],http://books.google.com/books/content?id=zWpYLfocDR4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=zWpYLfocDR4C&printsec=frontcover&dq=In+Darwin%27s+Wake:+Revisiting+Beagle%27s+South+American+Anchorages.&hl=&cd=1&source=gbs_api,"Sheridan House, Inc.",1997,http://books.google.nl/books?id=zWpYLfocDR4C&dq=In+Darwin%27s+Wake:+Revisiting+Beagle%27s+South+American+Anchorages.&hl=&source=gbs_api,['Sports & Recreation'],
Coming of Age in Samoa,"Rarely do science and literature come together in the same book. When they do -- as in Charles Darwin's On the Origin of Species, for example -- they become classics, quoted and studied by scholars and the general public alike. Margaret Mead accomplished this remarkable feat not once but several times, beginning with Coming of Age in Samoa. It details her historic journey to American Samoa, taken where she was just twenty-three, where she did her first fieldwork. Here, for the first time, she presented to the public the idea that the individual experience of developmental stages could be shaped by cultural demands and expectations. Adolescence, she wrote, might be more or less stormy, and sexual development more or less problematic in different cultures. The ""civilized"" world, she taught us had much to learn from the ""primitive."" Now this groundbreaking, beautifully written work as been reissued for the centennial of her birth, featuring introductions by Mary Pipher and by Mead's daughter, Mary Catherine Bateson.",['Margaret Mead'],http://books.google.com/books/content?id=1JsomEvlqAQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=1JsomEvlqAQC&dq=Coming+of+Age+in+Samoa&hl=&cd=1&source=gbs_api,Harper Collins,2001-02-20,http://books.google.nl/books?id=1JsomEvlqAQC&dq=Coming+of+Age+in+Samoa&hl=&source=gbs_api,['Social Science'],3.0
"The Foundations of the Origin of species;: Two essays written in 1842 and 1844,",,['Charles Darwin'],http://books.google.com/books/content?id=L3WMcK9eNhgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=L3WMcK9eNhgC&q=The+Foundations+of+the+Origin+of+species%3B:+Two+essays+written+in+1842+and+1844,&dq=The+Foundations+of+the+Origin+of+species%3B:+Two+essays+written+in+1842+and+1844,&hl=&cd=1&source=gbs_api",,1986,"http://books.google.nl/books?id=L3WMcK9eNhgC&dq=The+Foundations+of+the+Origin+of+species%3B:+Two+essays+written+in+1842+and+1844,&hl=&source=gbs_api",['Evolution'],
