['Agatha Christie']
['Anthony Trollope']
['Arthur Conan Doyle']
['Bertrand Russell']
['Charles Darwin']
['Charles Dickens']
['Charles Haddon Spurgeon']
['Daniel Defoe']
['Edgar Allan Poe']
['Edgar Rice Burroughs']
['Erle Stanley Gardner']
['Francis Parkman']
['Franklin W. Dixon']
['Gilbert Keith Chesterton']
['Henry James']
['Henry Wadsworth Longfellow']
['Herman Melville']
['Lewis Carroll']
['Mark Twain']
['Nathaniel Hawthorne']
['Robert Louis Stevenson']
['Rudyard Kipling']
['Thomas Hardy']
['Walter Scott']
['Washington Irving']
['William Makepeace Thackeray']
['William Shakespeare']
['Zane Grey']
