ASP.NET Distributed Data Applications,"['Alex Homer', 'David Sussman']",Apress,2008.0
Distributed .NET Programming in VB .NET,['Tom Barnaby'],Apress,2002.0
Distributed Com Application Development Using Visual C++ 6.0 with CDROM (Prentice Hall Series on Microsoft Technologies),['Jim Maloney'],Prentice Hall,2000.0
Distributed Systems Architecture: A Middleware Approach,"['Arno Puder', 'Kay Römer', 'Frank Pilhofer']",Elsevier,2011.0
Elements of Distributed Computing,['Vijay K. Garg'],John Wiley & Sons,2002.0
"Engineering Distributed Objects: Second International Workshop, EDO 2000 Davis, CA, USA, November 2-3, 2000 Revised Papers (Lecture Notes in Computer Science)","['Wolfgang Emmerich', 'Stefan Tai']",Springer,2003.0
Enterprise Linux at Work: How to Build 10 Distributed Applications for Your Organization,['Stephen Asbury'],John Wiley & Sons Incorporated,2000.0
Holographic Reduced Representation: Distributed Representation for Cognitive Structures (Center for the Study of Language and Information - Lecture Notes),"['Ignacio Rojas', 'Gonzalo Joya', 'Andreu Català']",Springer Nature,2021.0
IBM&reg; WebSphere&reg; Application Server for Distributed Platforms and z/OS&reg;: An Administrator's Guide,['James W. Cortada'],MIT Press,2019.0
Inside Distributed COM (Mps),"['Intermational Conference Ifip Tcs 200', 'International Federation for Information Processing', 'Springer-verlag']",Springer Science & Business Media,2000.0
Malware: Fighting Malicious Code (Prentice Hall Series in Computer Networking and Distributed),"['Ed Skoudis', 'Lenny Zeltser']",Prentice Hall Professional,2004.0
Open Source Network Administration (Prentice Hall Series in Computer Networking and Distributed Systems),['James M. Kretchmar'],Prentice Hall Professional,2004.0
Parallel and Distributed Programming Using C++,"['Cameron Hughes', 'Tracey Hughes']",Addison-Wesley Professional,2004.0
Replication Techniques in Distributed Systems (Advances in Database Systems),"['Abdelsalam A. Helal', 'Abdelsalam A. Heddaya', 'Bharat B. Bhargava']",Springer Science & Business Media,2006.0
"Trends in Distributed Systems: Towards a Universal Service Market: Third International IFIP/GI Working Conference, USM 2000 Munich, Germany, September ... (Lecture Notes in Computer Science)","['Claudia Linnhoff-Popien', 'Heinz-Gerd Hegering']",Springer,2006.0
